"","PlanName","PlanFullName","fy","fye","ActLiabilities_GASB","InvestmentReturn_1yr","month","SWTSX","VBMFX"
"115","Colorado State","Colorado Public Employee Retirement Association-State Division",2015,2015-12-31,24085672,0.015,12,0.00429752293225527,0.00296622627833276
"116","Colorado State","Colorado Public Employee Retirement Association-State Division",2016,2016-12-31,25669916,0.073,12,0.125897397552849,0.0250349763295443
"117","Colorado State","Colorado Public Employee Retirement Association-State Division",2017,2017-12-31,24782084,0.181,12,0.210770157536372,0.0347056761680109
"118","Colorado State","Colorado Public Employee Retirement Association-State Division",2018,2018-12-31,25509852,-0.035,12,-0.0534855874170982,-0.00120856535096936
"119","Colorado State","Colorado Public Employee Retirement Association-State Division",2019,2019-12-31,25717648,0.203,12,0.30895941516937,0.0862489916435427
"120","Colorado State","Colorado Public Employee Retirement Association-State Division",2020,2020-12-31,27116806,0.174,12,0.201461842099767,0.0736527298187584
"121","Connecticut SERS","Connecticut State Employees Retirement System",2001,2001-06-30,12105366,-0.0368,6,-0.149767821563439,0.115936438529123
"122","Connecticut SERS","Connecticut State Employees Retirement System",2002,2002-06-30,12806115,-0.0639,6,-0.161377139013264,0.0724952668482628
"123","Connecticut SERS","Connecticut State Employees Retirement System",2003,2003-06-30,14223786,0.0249,6,0.00840718542076413,0.0941399802042868
"124","Connecticut SERS","Connecticut State Employees Retirement System",2004,2004-06-30,15128502,0.1523,6,0.210044930298992,0.00151733718578506
"125","Connecticut SERS","Connecticut State Employees Retirement System",2005,2005-06-30,15987547,0.1044,6,0.0834510139020883,0.0671837487935085
"126","Connecticut SERS","Connecticut State Employees Retirement System",2006,2006-06-30,16830348,0.1055,6,0.0958632827134356,-0.0100679632709131
"127","Connecticut SERS","Connecticut State Employees Retirement System",2007,2007-06-30,17888064,0.1734,6,0.201725333759148,0.0610487833110509
"128","Connecticut SERS","Connecticut State Employees Retirement System",2008,2008-06-30,19243372,-0.0483,6,-0.126672555083808,0.0727365157150885
"129","Connecticut SERS","Connecticut State Employees Retirement System",2009,2009-06-30,20148784,-0.1825,6,-0.257008191237972,0.0615446676819595
"130","Connecticut SERS","Connecticut State Employees Retirement System",2010,2010-06-30,21054196,0.1293,6,0.159958702200008,0.0916510153908179
"131","Connecticut SERS","Connecticut State Employees Retirement System",2011,2011-06-30,21126724,0.2115,6,0.323305052657771,0.0356363530145376
"132","Connecticut SERS","Connecticut State Employees Retirement System",2012,2012-06-30,23018752,-0.009,6,0.014392838146547,0.0748260094810163
"133","Connecticut SERS","Connecticut State Employees Retirement System",2013,2013-06-30,23768192,0.119,6,0.245178160311918,-0.00943616662490865
"134","Connecticut SERS","Connecticut State Employees Retirement System",2014,2014-06-30,25505610,0.1562,6,0.248978063745716,0.0417492025530282
"135","Connecticut SERS","Connecticut State Employees Retirement System",2015,2015-06-30,26255512,0.0284,6,0.0706342673998919,0.0160516518673341
"136","Connecticut SERS","Connecticut State Employees Retirement System",2016,2016-06-30,32310336,0.0026,6,0.0211200121972932,0.0602387534261064
"137","Connecticut SERS","Connecticut State Employees Retirement System",2017,2017-06-30,33077608,0.1432,6,0.184761432559152,-0.00538913367223248
"138","Connecticut SERS","Connecticut State Employees Retirement System",2018,2018-06-30,34214164,0.073,6,0.147441951647899,-0.00605852848917976
"139","Connecticut SERS","Connecticut State Employees Retirement System",2019,2019-06-30,36087936,0.0588,6,0.0880615826296487,0.0775737145313218
"140","Connecticut SERS","Connecticut State Employees Retirement System",2020,2020-06-30,36971136,0.0186,6,0.0637169903048058,0.0887383690228434
"141","Contra Costa County","Contra Costa County Employees' Retirement Association",2001,2001-12-31,2983551,-0.024,12,-0.110854214091949,0.0838725712104669
"142","Contra Costa County","Contra Costa County Employees' Retirement Association",2002,2002-12-31,3677624,-0.095,12,-0.204322995890601,0.0843301851140175
"143","Contra Costa County","Contra Costa County Employees' Retirement Association",2003,2003-12-31,4141390,0.235,12,0.309779195773475,0.0390550381026784
"144","Contra Costa County","Contra Costa County Employees' Retirement Association",2004,2004-12-31,4481243,0.134,12,0.124789550729668,0.0427295787212647
"145","Contra Costa County","Contra Costa County Employees' Retirement Association",2005,2005-12-31,4792428,0.108,12,0.0621621498329641,0.0242860091491208
"146","Contra Costa County","Contra Costa County Employees' Retirement Association",2006,2006-12-31,5293977,0.153,12,0.155300142443008,0.0430787617229647
"147","Contra Costa County","Contra Costa County Employees' Retirement Association",2007,2007-12-31,5581048,0.073,12,0.0536625951666168,0.069561593296529
"148","Contra Costa County","Contra Costa County Employees' Retirement Association",2008,2008-12-31,5972471,-0.265,12,-0.365611147560206,0.0508983946955546
"149","Contra Costa County","Contra Costa County Employees' Retirement Association",2009,2009-12-31,6314787,0.219,12,0.283026679365479,0.059505035287575
"150","Contra Costa County","Contra Costa County Employees' Retirement Association",2010,2010-12-31,6654037,0.14,12,0.172355650658102,0.063136479344696
"151","Contra Costa County","Contra Costa County Employees' Retirement Association",2011,2011-12-31,6915311.5,0.027,12,0.0127794236429859,0.0759157042421255
"152","Contra Costa County","Contra Costa County Employees' Retirement Association",2012,2012-12-31,7761315.5,0.141,12,0.16287946344924,0.0406831850802272
"153","Contra Costa County","Contra Costa County Employees' Retirement Association",2013,2013-12-31,7731097.5,0.165,12,0.333574806908474,-0.0224706879179262
"154","Contra Costa County","Contra Costa County Employees' Retirement Association",2014,2014-12-31,8027438,0.084,12,0.12374148429806,0.0576772399296885
"155","Contra Costa County","Contra Costa County Employees' Retirement Association",2015,2015-12-31,8448624,0.026,12,0.00429752293225527,0.00296622627833276
"156","Contra Costa County","Contra Costa County Employees' Retirement Association",2016,2016-12-31,8794434,0.074,12,0.125897397552849,0.0250349763295443
"157","Contra Costa County","Contra Costa County Employees' Retirement Association",2017,2017-12-31,9239247,0.142,12,0.210770157536372,0.0347056761680109
"158","Contra Costa County","Contra Costa County Employees' Retirement Association",2018,2018-12-31,9682144,-0.027,12,-0.0534855874170982,-0.00120856535096936
"159","Contra Costa County","Contra Costa County Employees' Retirement Association",2019,2019-12-31,10075722,0.146,12,0.30895941516937,0.0862489916435427
"160","Contra Costa County","Contra Costa County Employees' Retirement Association",2020,2020-12-31,10521628,0.092,12,0.201461842099767,0.0736527298187584
"161","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2001,2001-09-30,NA,-0.117,9,-0.287062158872108,0.129031582634977
"162","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2002,2002-09-30,NA,-0.079,9,-0.168223164301793,0.0666155904399182
"163","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2003,2003-09-30,NA,0.163,9,0.250701084375684,0.0536433874901707
"164","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2004,2004-09-30,NA,0.119,9,0.148804386808168,0.0337032776509378
"165","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2005,2005-09-30,NA,0.139,9,0.14409279991157,0.0273897098266203
"166","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2006,2006-09-30,2459000,0.104,9,0.103371947561117,0.0358205833104159
"167","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2007,2007-09-30,2647300,0.168,9,0.164648213407518,0.0516130686888148
"168","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2008,2008-09-30,2938800,-0.169,9,-0.206920105227438,0.0378943900332429
"169","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2009,2009-09-30,3027900,-0.022,9,-0.0618004047455416,0.105124116826512
"170","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2010,2010-09-30,3166830,0.103,9,0.114320600049024,0.0785070902102396
"171","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2011,2011-09-30,3309825,0.029,9,0.00746885300753219,0.0514324626394689
"172","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2012,2012-09-30,3456976,0.145,9,0.300993971528924,0.049364683506866
"173","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2013,2013-09-30,3644085,0.113,9,0.213613643046163,-0.0192506040923421
"174","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2014,2014-09-30,3998537,0.084,9,0.175563553140318,0.0378034215661818
"175","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2015,2015-09-30,4283093,-0.039,9,-0.00586381212229004,0.0265129307536967
"176","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2016,2016-09-30,4498513,0.094,9,0.149181523661728,0.0520488920343931
"177","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2017,2017-09-30,4878260,0.131,9,0.186312648416066,-0.00223563126141857
"178","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2018,2018-09-30,5223760,0.054,9,0.175340109143364,-0.0129343783439386
"179","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2019,2019-09-30,5604573,0.039,9,0.0274017298678673,0.103356855519959
"180","DC Police & Fire","District of Columbia Police Officers' & Firefighters' Retirement Plan",2020,2020-09-30,6023843,0.054,9,0.147215383792042,0.0695064190986026
"181","Florida RS","Florida Retirement System",2001,2001-06-30,80993720,-0.076,6,-0.149767821563439,0.115936438529123
"182","Florida RS","Florida Retirement System",2002,2002-06-30,86469776,-0.0807,6,-0.161377139013264,0.0724952668482628
"183","Florida RS","Florida Retirement System",2003,2003-06-30,89251328,0.0285,6,0.00840718542076413,0.0941399802042868
"184","Florida RS","Florida Retirement System",2004,2004-06-30,95185432,0.1665,6,0.210044930298992,0.00151733718578506
"185","Florida RS","Florida Retirement System",2005,2005-06-30,103925952,0.1018,6,0.0834510139020883,0.0671837487935085
"186","Florida RS","Florida Retirement System",2006,2006-06-30,110977832,0.1056,6,0.0958632827134356,-0.0100679632709131
"187","Florida RS","Florida Retirement System",2007,2007-06-30,118870512,0.1807,6,0.201725333759148,0.0610487833110509
"188","Florida RS","Florida Retirement System",2008,2008-06-30,124087216,-0.0442,6,-0.126672555083808,0.0727365157150885
"189","Florida RS","Florida Retirement System",2009,2009-06-30,135140576,-0.1903,6,-0.257008191237972,0.0615446676819595
"190","Florida RS","Florida Retirement System",2010,2010-06-30,137442432,0.1403,6,0.159958702200008,0.0916510153908179
"191","Florida RS","Florida Retirement System",2011,2011-06-30,145034480,0.2209,6,0.323305052657771,0.0356363530145376
"192","Florida RS","Florida Retirement System",2012,2012-06-30,148049600,0.0029,6,0.014392838146547,0.0748260094810163
"193","Florida RS","Florida Retirement System",2013,2013-06-30,154125952,0.1312,6,0.245178160311918,-0.00943616662490865
"194","Florida RS","Florida Retirement System",2014,2014-06-30,160130496,0.174,6,0.248978063745716,0.0417492025530282
"195","Florida RS","Florida Retirement System",2015,2015-06-30,165548928,0.0367,6,0.0706342673998919,0.0160516518673341
"196","Florida RS","Florida Retirement System",2016,2016-06-30,170374608,0.0054,6,0.0211200121972932,0.0602387534261064
"197","Florida RS","Florida Retirement System",2017,2017-06-30,178579120,0.1377,6,0.184761432559152,-0.00538913367223248
"198","Florida RS","Florida Retirement System",2018,2018-06-30,185950080,0.0898,6,0.147441951647899,-0.00605852848917976
"199","Florida RS","Florida Retirement System",2019,2019-06-30,191330896,0.0626,6,0.0880615826296487,0.0775737145313218
"200","Florida RS","Florida Retirement System",2020,2020-06-30,200277168,0.0308,6,0.0637169903048058,0.0887383690228434
"201","Hawaii ERS","Employees' Retirement System of the State of Hawaii",2001,2001-06-30,10506913,-0.0668,6,-0.149767821563439,0.115936438529123
"202","Hawaii ERS","Employees' Retirement System of the State of Hawaii",2002,2002-06-30,11210226,-0.0552,6,-0.161377139013264,0.0724952668482628
"203","Hawaii ERS","Employees' Retirement System of the State of Hawaii",2003,2003-06-30,11952057,0.0297,6,0.00840718542076413,0.0941399802042868
"204","Hawaii ERS","Employees' Retirement System of the State of Hawaii",2004,2004-06-30,12271331,0.1581,6,0.210044930298992,0.00151733718578506
"205","Hawaii ERS","Employees' Retirement System of the State of Hawaii",2005,2005-06-30,12985989,0.113,6,0.0834510139020883,0.0671837487935085
"206","Hawaii ERS","Employees' Retirement System of the State of Hawaii",2006,2006-06-30,14661399,0.1112,6,0.0958632827134356,-0.0100679632709131
"207","Hawaii ERS","Employees' Retirement System of the State of Hawaii",2007,2007-06-30,15696500,0.1771,6,0.201725333759148,0.0610487833110509
"208","Hawaii ERS","Employees' Retirement System of the State of Hawaii",2008,2008-06-30,16549100,-0.0351,6,-0.126672555083808,0.0727365157150885
"209","Hawaii ERS","Employees' Retirement System of the State of Hawaii",2009,2009-06-30,17636400,-0.1754,6,-0.257008191237972,0.0615446676819595
"210","Hawaii ERS","Employees' Retirement System of the State of Hawaii",2010,2010-06-30,18483700,0.1196,6,0.159958702200008,0.0916510153908179
